w,k,Output,Index,Symbol
ÿþÿÿĀ,Ā,598,777,ÿþÿÿĀĀ
ĀþÿĀ,ÿ,666,778,ĀþÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,733,779,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,569,780,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þþÿĀÿ,Ā,731,781,þþÿĀÿĀ
Āþÿÿþ,Ā,696,782,ĀþÿÿþĀ
ĀÿÿĀ,þ,638,783,ĀÿÿĀþ
þÿþý,ÿ,743,784,þÿþýÿ
ÿþÿ,þ,551,785,ÿþÿþ
þÿÿÿĀÿ,Ā,663,786,þÿÿÿĀÿĀ
Āÿ,ā,529,787,Āÿā
āÿ,Ā,620,788,āÿĀ
Āÿÿÿÿÿÿÿÿÿÿ,Ā,720,789,ĀÿÿÿÿÿÿÿÿÿÿĀ
Āþþÿ,Ā,618,790,ĀþþÿĀ
ĀÿĀÿ,ÿ,606,791,ĀÿĀÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,779,792,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,733,793,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þþÿ,þ,633,794,þþÿþ
þ,ā,254,795,þā
āĀ,þ,711,796,āĀþ
þÿÿþ,ÿ,678,797,þÿÿþÿ
ÿĀÿÿÿ,þ,567,798,ÿĀÿÿÿþ
þĀþ,ÿ,691,799,þĀþÿ
ÿĀÿÿ,þ,566,800,ÿĀÿÿþ
þĀÿþ,ý,584,801,þĀÿþý
ý,ý,253,802,ýý
ý,û,253,803,ýû
û,ù,251,804,ûù
ù,ò,249,805,ùò
ò,ì,242,806,òì
ì,í,236,807,ìí
í,á,237,808,íá
á,ô,225,809,áô
ô,î,244,810,ôî
î,ó,238,811,îó
ó,ý,243,812,óý
ý,Ă,253,813,ýĂ
Ă,Ą,258,814,ĂĄ
Ą,ā,260,815,Ąā
ā,Ć,257,816,āĆ
Ć,ă,262,817,Ćă
ă,ą,259,818,ăą
ąĄ,ă,763,819,ąĄă
ă,Ă,259,820,ăĂ
Ăā,Ā,760,821,ĂāĀ
ĀĀ,ÿ,546,822,ĀĀÿ
ÿý,ý,542,823,ÿýý
ýþ,û,699,824,ýþû
û,ú,251,825,ûú
ú,þ,250,826,úþ
þ,ø,254,827,þø
ø,ú,248,828,øú
ú,ø,250,829,úø
øú,û,828,830,øúû
û,ā,251,831,ûā
ā,ć,257,832,āć
ć,Ć,263,833,ćĆ
Ć,ď,262,834,Ćď
ď,Ė,271,835,ďĖ
Ė,ė,278,836,Ėė
ė,ĕ,279,837,ėĕ
ĕ,đ,277,838,ĕđ
đ,ć,273,839,đć
ć,Ă,263,840,ćĂ
Ă,Ă,258,841,ĂĂ
Ăā,ÿ,760,842,Ăāÿ
ÿþĀ,ÿ,637,843,ÿþĀÿ
ÿÿ,ý,513,844,ÿÿý
ýĂ,ý,813,845,ýĂý
ý,ā,253,846,ýā
āÿþ,ÿ,685,847,āÿþÿ
ÿÿĀþ,þ,548,848,ÿÿĀþþ
þā,Ā,795,849,þāĀ
Āÿÿ,þ,539,850,Āÿÿþ
þÿÿĀÿ,ÿ,597,851,þÿÿĀÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,792,852,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿþ,ÿ,648,853,ÿÿÿÿÿÿÿÿÿÿÿÿÿþÿ
ÿþĀÿ,ÿ,843,854,ÿþĀÿÿ
ÿĀ,þ,538,855,ÿĀþ
þþþ,ÿ,700,856,þþþÿ
ÿā,ý,710,857,ÿāý
ýÿ,Ā,654,858,ýÿĀ
Āý,Ă,653,859,ĀýĂ
Ă,û,258,860,Ăû
û,ü,251,861,ûü
ü,ó,252,862,üó
ó,è,243,863,óè
è,è,232,864,èè
è,ó,232,865,èó
ó,ø,243,866,óø
øü,č,755,867,øüč
čČ,Ē,770,868,čČĒ
Ē,đ,274,869,Ēđ
đ,Č,273,870,đČ
Č,Ą,268,871,ČĄ
Ąā,ÿ,815,872,Ąāÿ
ÿĀā,ÿ,706,873,ÿĀāÿ
ÿÿÿ,û,514,874,ÿÿÿû
û,ă,251,875,ûă
ă,ÿ,259,876,ăÿ
ÿÿý,ā,844,877,ÿÿýā
āÿ,ÿ,620,878,āÿÿ
ÿ,ü,255,879,ÿü
üÿ,ā,703,880,üÿā
āĀ,Ā,711,881,āĀĀ
Āÿÿÿÿÿÿÿÿÿÿÿ,ÿ,776,882,Āÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,852,883,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
