w,k,Output,Index,Symbol
ĉ,266,Ċ,729,ĉĊ
Ċ,266,Ċ,730,ĊĊ
Ċ,268,Č,731,ĊČ
Č,262,Ć,732,ČĆ
Ć,588,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,733,Ćÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,591,ÿÿÿĀ,734,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþÿ
ÿÿÿĀ,628,ÿÿÿÿÿÿþÿ,735,ÿÿÿĀÿ
ÿÿÿÿÿÿþÿ,662,Āÿÿÿÿÿÿÿÿÿÿÿ,736,ÿÿÿÿÿÿþÿĀ
Āÿÿÿÿÿÿÿÿÿÿÿ,704,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,737,Āÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,684,ÿÿþý,738,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿþý,666,āĀÿÿÿ,739,ÿÿþýā
āĀÿÿÿ,670,þÿÿĀÿ,740,āĀÿÿÿþ
þÿÿĀÿ,600,ÿÿü,741,þÿÿĀÿÿ
ÿÿü,708,āĀÿÿÿÿÿ,742,ÿÿüā
āĀÿÿÿÿÿ,595,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,743,āĀÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,535,ýÿ,744,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþý
ýÿ,599,Ăÿÿ,745,ýÿĂ
Ăÿÿ,617,þüÿ,746,Ăÿÿþ
þüÿ,256,Ā,747,þüÿĀ
Ā,743,āĀÿÿÿÿÿÿ,748,Āā
āĀÿÿÿÿÿÿ,738,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,749,āĀÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,651,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,750,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,533,þĀÿ,751,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þĀÿ,590,ýāÿÿ,752,þĀÿý
ýāÿÿ,563,ÿþ,753,ýāÿÿÿ
ÿþ,524,þĀ,754,ÿþþ
þĀ,540,Āÿÿÿ,755,þĀĀ
Āÿÿÿ,253,ý,756,Āÿÿÿý
ý,253,ý,757,ýý
ý,703,ĂĀÿ,758,ýĂ
ĂĀÿ,516,ÿÿÿÿÿ,759,ĂĀÿÿ
ÿÿÿÿÿ,250,ú,760,ÿÿÿÿÿú
ú,242,ò,761,úò
ò,230,æ,762,òæ
æ,246,ö,763,æö
ö,238,î,764,öî
î,245,õ,765,îõ
õ,253,ý,766,õý
ý,261,ą,767,ýą
ą,260,Ą,768,ąĄ
Ą,260,Ą,769,ĄĄ
Ą,261,ą,770,Ąą
ą,259,ă,771,ąă
ă,768,ąĄ,772,ăą
ąĄ,261,ą,773,ąĄą
ą,748,Āā,774,ąĀ
Āā,586,þÿÿÿ,775,Āāþ
þÿÿÿ,535,ýÿ,776,þÿÿÿý
ýÿ,252,ü,777,ýÿü
ü,251,û,778,üû
û,253,ý,779,ûý
ý,248,ø,780,ýø
ø,249,ù,781,øù
ù,248,ø,782,ùø
ø,248,ø,783,øø
ø,252,ü,784,øü
ü,257,ā,785,üā
ā,261,ą,786,āą
ą,262,Ć,787,ąĆ
Ć,271,ď,788,Ćď
ď,274,Ē,789,ďĒ
Ē,274,Ē,790,ĒĒ
Ē,263,ć,791,Ēć
ć,541,ÿÿÿÿÿÿÿÿÿÿÿÿ,792,ćÿ
ÿÿÿÿÿÿÿÿÿÿÿÿ,528,ýā,793,ÿÿÿÿÿÿÿÿÿÿÿÿý
ýā,664,þýþĀ,794,ýāþ
þýþĀ,563,ÿþ,795,þýþĀÿ
ÿþ,748,Āā,796,ÿþĀ
Āā,531,Āÿÿ,797,ĀāĀ
Āÿÿ,720,þþ,798,Āÿÿþ
þþ,256,Ā,799,þþĀ
Ā,737,Āÿÿÿÿÿÿÿÿÿÿÿÿ,800,ĀĀ
Āÿÿÿÿÿÿÿÿÿÿÿÿ,705,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,801,Āÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,644,ýþ,802,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþý
ýþ,759,ĂĀÿÿ,803,ýþĂ
ĂĀÿÿ,601,üþ,804,ĂĀÿÿü
üþ,252,ü,805,üþü
ü,256,Ā,806,üĀ
Ā,261,ą,807,Āą
ą,514,ÿÿÿ,808,ąÿ
ÿÿÿ,251,û,809,ÿÿÿû
û,259,ă,810,ûă
ă,514,ÿÿÿ,811,ăÿ
ÿÿÿ,248,ø,812,ÿÿÿø
ø,242,ò,813,øò
ò,248,ø,814,òø
ø,644,ýþ,815,øý
ýþ,268,Č,816,ýþČ
Č,263,ć,817,Čć
ć,264,Ĉ,818,ćĈ
Ĉ,550,ÿÿÿÿÿþ,819,Ĉÿ
ÿÿÿÿÿþ,607,Āþ,820,ÿÿÿÿÿþĀ
