w,k,Output,Index,Symbol
ĀÿÿĀ,743,þÿþý,783,ĀÿÿĀþ
þÿþý,551,ÿþÿ,784,þÿþýÿ
ÿþÿ,663,þÿÿÿĀÿ,785,ÿþÿþ
þÿÿÿĀÿ,529,Āÿ,786,þÿÿÿĀÿĀ
Āÿ,620,āÿ,787,Āÿā
āÿ,720,Āÿÿÿÿÿÿÿÿÿÿ,788,āÿĀ
Āÿÿÿÿÿÿÿÿÿÿ,618,Āþþÿ,789,ĀÿÿÿÿÿÿÿÿÿÿĀ
Āþþÿ,606,ĀÿĀÿ,790,ĀþþÿĀ
ĀÿĀÿ,779,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,791,ĀÿĀÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,733,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,792,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,633,þþÿ,793,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þþÿ,254,þ,794,þþÿþ
þ,711,āĀ,795,þā
āĀ,678,þÿÿþ,796,āĀþ
þÿÿþ,567,ÿĀÿÿÿ,797,þÿÿþÿ
ÿĀÿÿÿ,691,þĀþ,798,ÿĀÿÿÿþ
þĀþ,566,ÿĀÿÿ,799,þĀþÿ
ÿĀÿÿ,584,þĀÿþ,800,ÿĀÿÿþ
þĀÿþ,253,ý,801,þĀÿþý
ý,253,ý,802,ýý
ý,251,û,803,ýû
û,249,ù,804,ûù
ù,242,ò,805,ùò
ò,236,ì,806,òì
ì,237,í,807,ìí
í,225,á,808,íá
á,244,ô,809,áô
ô,238,î,810,ôî
î,243,ó,811,îó
ó,253,ý,812,óý
ý,258,Ă,813,ýĂ
Ă,260,Ą,814,ĂĄ
Ą,257,ā,815,Ąā
ā,262,Ć,816,āĆ
Ć,259,ă,817,Ćă
ă,763,ąĄ,818,ăą
ąĄ,259,ă,819,ąĄă
ă,760,Ăā,820,ăĂ
Ăā,546,ĀĀ,821,ĂāĀ
ĀĀ,542,ÿý,822,ĀĀÿ
ÿý,699,ýþ,823,ÿýý
ýþ,251,û,824,ýþû
û,250,ú,825,ûú
ú,254,þ,826,úþ
þ,248,ø,827,þø
ø,250,ú,828,øú
ú,828,øú,829,úø
øú,251,û,830,øúû
û,257,ā,831,ûā
ā,263,ć,832,āć
ć,262,Ć,833,ćĆ
Ć,271,ď,834,Ćď
ď,278,Ė,835,ďĖ
Ė,279,ė,836,Ėė
ė,277,ĕ,837,ėĕ
ĕ,273,đ,838,ĕđ
đ,263,ć,839,đć
ć,258,Ă,840,ćĂ
Ă,760,Ăā,841,ĂĂ
Ăā,637,ÿþĀ,842,Ăāÿ
ÿþĀ,513,ÿÿ,843,ÿþĀÿ
ÿÿ,813,ýĂ,844,ÿÿý
ýĂ,253,ý,845,ýĂý
ý,685,āÿþ,846,ýā
āÿþ,548,ÿÿĀþ,847,āÿþÿ
ÿÿĀþ,795,þā,848,ÿÿĀþþ
þā,539,Āÿÿ,849,þāĀ
Āÿÿ,597,þÿÿĀÿ,850,Āÿÿþ
þÿÿĀÿ,792,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,851,þÿÿĀÿÿ
